time,ang,vel,acc,x,y,yaw,carv,alHori,roll
0,0,0,0,2.197600431,-10.00000255,-6.98E-10,0,0,4.44E-06
0.01,0,-6.61E-08,-1.06E-05,2.197592564,-10.00000227,-5.09E-08,0.001622227,-0.001128266,4.90E-06
0.02,0,-1.61E-07,-8.86E-06,2.197574299,-10.00000146,-1.77E-07,0.002895751,-0.000655699,6.20E-06
0.03,0,-2.41E-07,-7.88E-06,2.197547632,-10.00000013,-3.76E-07,0.003853702,-0.003965235,8.28E-06
0.04,0,-3.14E-07,-5.89E-06,2.197519475,-9.999998327,-6.58E-07,0.004491122,-0.009035912,1.09E-05
0.05,0,-3.20E-07,3.62E-06,2.197497486,-9.999996079,-1.05E-06,0.005150193,-0.023523924,1.39E-05
0.06,0,-2.06E-07,1.69E-05,2.197489286,-9.999993428,-1.57E-06,0.006225466,-0.214377384,1.69E-05
0.07,0,3.99E-08,2.87E-05,2.197502472,-9.999990413,-2.24E-06,0.008016809,-0.033658603,1.98E-05
0.08,0,3.52E-07,3.15E-05,2.197544669,-9.999987094,-3.04E-06,0.010646322,-0.02013037,2.24E-05
0.09,0,6.18E-07,2.14E-05,2.197623542,-9.999983584,-3.96E-06,0.014130593,-0.016153248,2.46E-05
0.1,0,6.95E-07,-3.17E-06,2.197746763,-9.999980052,-4.94E-06,0.018456233,-0.014620702,2.61E-05
0.11,0,4.56E-07,-3.88E-05,2.197921975,-9.999976706,-5.94E-06,0.023605074,-0.013774103,2.66E-05
0.12,0,-1.64E-07,-7.72E-05,2.198156769,-9.999973757,-6.88E-06,0.029558335,-0.012711446,2.59E-05
0.13,0,-1.13E-06,-0.0001077,2.198458668,-9.99997136,-7.69E-06,0.036298035,-0.010866451,2.41E-05
0.14,0,-2.30E-06,-0.000119712,2.198835138,-9.999969563,-8.31E-06,0.043808638,-0.008065097,2.11E-05
0.15,0,-3.42E-06,-0.000103902,2.199293591,-9.999968273,-8.71E-06,0.052078097,-0.004670933,1.73E-05
0.16,0,-4.19E-06,-5.34E-05,2.199841402,-9.999967281,-8.87E-06,0.061097867,-0.001565768,1.34E-05
0.17,0,-4.23E-06,3.29E-05,2.200485905,-9.999966337,-8.82E-06,0.070862052,0.00077618,9.66E-06
0.18,0,-3.08E-06,0.000149551,2.201233014,-9.999965275,-8.64E-06,0.081008027,3.92E-06,6.59E-06
0.19,0,-1.34E-06,0.000208049,2.202084697,-9.99996409,-8.44E-06,0.091372006,-0.001498892,4.16E-06
0.2,0,1.08E-06,0.000256161,2.203044615,-9.999962918,-8.32E-06,0.102241402,-0.00289883,2.11E-06
0.21,0,3.45E-06,0.000207071,2.204118889,-9.999961905,-8.38E-06,0.113828481,-0.00311624,1.61E-07
0.22,0,4.62E-06,4.43E-05,2.205315396,-9.999961095,-8.67E-06,0.126273976,-0.002136933,-1.77E-06
0.23,0,3.85E-06,-0.000152724,2.206643013,-9.999960413,-9.12E-06,0.139645721,-0.001111089,-3.54E-06
0.24,0,2.01E-06,-0.000234399,2.208110917,-9.999959765,-9.62E-06,0.15394973,-0.001160069,-4.95E-06
0.25,0,-2.25E-06,-0.000491947,2.209728097,-9.999959156,-1.00E-05,0.169154525,-0.002115632,-5.96E-06
0.26,0,-6.03E-06,-0.000246227,2.21150313,-9.999958693,-1.04E-05,0.185216339,-0.002686891,-6.69E-06
0.27,0,-5.67E-06,0.000200396,2.213444179,-9.999958461,-1.06E-05,0.202094511,-0.002079414,-7.27E-06
0.28,0,-3.19E-06,0.000193081,2.215559059,-9.999958435,-1.08E-05,0.219755744,-0.001048086,-7.68E-06
0.29,0,-3.78E-06,-0.000228861,2.217855309,-9.999958528,-1.10E-05,0.238172504,-0.00077213,-7.79E-06
0.3,0,-5.67E-06,3.08E-05,2.220340234,-9.999958713,-1.11E-05,0.257321216,-0.001001893,-7.57E-06
0.31,0,2.59E-06,0.001357668,2.223020941,-9.999959018,-1.13E-05,0.277182429,-0.000799907,-7.08E-06
0.32,0,2.84E-05,0.003623042,2.225904357,-9.999959439,-1.15E-05,0.297736596,-0.000253724,-6.36E-06
0.33,0,6.64E-05,0.003436508,2.228997238,-9.999959922,-1.18E-05,0.318966253,5.68E-05,-5.40E-06
0.34,0,9.35E-05,0.002187178,2.232306208,-9.999960429,-1.22E-05,0.34085822,3.51E-06,-4.18E-06
0.35,0,0.000110525,0.001477553,2.235837786,-9.99996096,-1.26E-05,0.363402384,-0.000108317,-2.74E-06
0.36,0,0.000123951,0.001270244,2.23959841,-9.999961528,-1.30E-05,0.386589906,-3.82E-05,-1.16E-06
0.37,0,0.000134229,0.000794209,2.24359444,-9.99996213,-1.34E-05,0.410412385,0.000180282,5.03E-07
0.38,0,0.00013669,-0.000159717,2.247832156,-9.999962748,-1.38E-05,0.434861774,0.000391954,2.23E-06
0.39,0,0.000129254,-0.001085388,2.252317766,-9.999963359,-1.42E-05,0.459930408,0.000515861,4.01E-06
0.4,0,0.000115468,-0.001495218,2.257057404,-9.999963951,-1.46E-05,0.485610754,0.000580732,5.81E-06
0.41,0,0.000103056,-0.000989518,2.26205737,-9.999964516,-1.50E-05,0.511990095,0.00069289,7.59E-06
0.42,0,8.98E-05,-0.001602594,2.26732588,-9.999965041,-1.54E-05,0.539200178,0.000779928,9.33E-06
0.43,0,6.91E-05,-0.002528624,2.272869812,-9.999965515,-1.59E-05,0.567016374,0.000795852,1.10E-05
0.44,0,3.84E-05,-0.003385337,2.278695011,-9.99996593,-1.63E-05,0.595409896,0.000835393,1.26E-05
0.45,0,1.37E-06,-0.003881804,2.284807213,-9.99996628,-1.68E-05,0.624376252,0.000905663,1.40E-05
0.46,0,-4.00E-05,-0.004329955,2.291212133,-9.999966554,-1.73E-05,0.653913626,0.000956365,1.54E-05
